"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"89","Devin Asiasi (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Josiah Deguara (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"91","Luke Farrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Leroy Watson IV (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Cole Fotheringham (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Tucker Fisk (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Curtis Hodges (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Stone Smartt (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Noah Gindorff (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Grant Calcaterra (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","John FitzPatrick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Teagan Quitoriano (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Tanner Conner (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Gerrit Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Daniel Bellinger (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"107","Nick Muse (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Lucas Krull (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","Andrew Ogletree (IND)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"114","Travis Vokolek (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Julian Hill (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Nate Adkins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Jordan Murray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Dalton Kincaid (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.7%"
"124","Luke Schoonmaker (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"125","Luke Musgrave (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.2%"
"126","Tucker Kraft (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"127","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Ben Sims (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Joel Wilson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Charlie Kolar (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Tre' McKitty (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Kenny Yeboah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","John Bates (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"141","Matt Bushman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"143","Peyton Hendershot (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"144","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Shane Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Will Mallory (IND)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"149","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"150","Isaiah Likely (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"151","Davis Allen (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"152","Cole Turner (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"153","Elijah Higgins (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Jacob Harris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Jack Stoll (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"158","James Mitchell (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Durham Smythe (MIA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"160","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Jimmy Graham (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"168","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Marcedes Lewis (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","J.P. Holtz (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Troy Fumagalli (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Ian Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jordan Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Jordan Akins (CLE)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"179","David Wells (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Mo Alie-Cox (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"181","Darrell Daniels (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Johnny Mundt (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","Anthony Firkser (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Nick Vannett (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Eric Tomlinson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Tyler Ott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Tyler Kroft (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"191","Blake Bell (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"192","Chris Manhertz (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"193","Geoff Swaim (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","C.J. Uzomah (NYJ)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
""
""
