"Player ID",Name,URL,Team,Position,Age,"Draft Pick",Type,Strategy,"Lifetime Value","Lifetime Value Change",Rank,"Positional Rank"
JR-2503,"Jalen Royals",http://www.playerprofiler.com/nfl/jalen-royals/,"Utah State",WR,22.0,-,ppr,default,48.980000,0.00,20,9
EA-0222,"Elijah Arroyo",http://www.playerprofiler.com/nfl/elijah-arroyo/,Miami,TE,21.9,-,ppr,default,48.020000,0.00,21,3
HF-2501,"Harold Fannin Jr.",http://www.playerprofiler.com/nfl/harold-fannin-jr/,"Bowling Green",TE,20.6,-,ppr,default,47.770000,0.00,22,4
BT-2501,"Bhayshul Tuten",http://www.playerprofiler.com/nfl/bhayshul-tuten/,"Virginia Tech",RB,22.0,-,ppr,default,47.210000,8.75,23,10
XR-2501,"Xavier Restrepo",http://www.playerprofiler.com/nfl/xavier-restrepo/,Miami,WR,22.8,-,ppr,default,45.650000,0.00,24,10
DG-2502,"DJ Giddens",http://www.playerprofiler.com/nfl/dj-giddens/,"Kansas State",RB,21.5,-,ppr,default,45.640000,0.00,25,11
DM-0222,"Damien Martinez",http://www.playerprofiler.com/nfl/damien-martinez/,Miami,RB,21.1,-,ppr,default,44.340000,0.00,26,12
CW-0223,"Cameron Ward",http://www.playerprofiler.com/nfl/cameron-ward/,Miami,QB,22.8,-,ppr,default,37.610000,0.00,27,1
RH-2501,"RJ Harvey",http://www.playerprofiler.com/nfl/rj-harvey/,UCF,RB,24.1,-,ppr,default,37.180000,11.12,28,13
SS-2810,"Shedeur Sanders",http://www.playerprofiler.com/nfl/shedeur-sanders/,Colorado,QB,23.0,-,ppr,default,36.830000,0.00,29,2
TJ-2501,"Tez Johnson",http://www.playerprofiler.com/nfl/tez-johnson/,Oregon,WR,22.8,-,ppr,default,36.830000,0.00,29,11
CS-2501,"Cam Skattebo",http://www.playerprofiler.com/nfl/cam-skattebo/,"Arizona State",RB,23.1,-,ppr,default,36.490000,-14.51,31,14
JH-2501,"Jayden Higgins",http://www.playerprofiler.com/nfl/jayden-higgins/,"Iowa State",WR,22.2,-,ppr,default,30.770000,0.00,32,12
SW-2502,"Savion Williams",http://www.playerprofiler.com/nfl/savion-williams/,TCU,WR,23.3,-,ppr,default,28.900000,0.00,33,13
JJ-2506,"Jordan James",http://www.playerprofiler.com/nfl/jordan-james/,Oregon,RB,20.9,-,ppr,default,23.690000,0.00,34,15
JD-0222,"Jaxson Dart",http://www.playerprofiler.com/nfl/jaxson-dart/,"Ole Miss",QB,21.8,-,ppr,default,20.960000,0.00,35,3
OG-2502,"Oronde Gadsden II",http://www.playerprofiler.com/nfl/oronde-gadsden-ii/,Syracuse,TE,21.7,-,ppr,default,20.870000,0.00,36,5
TB-2502,"Tahj Brooks",http://www.playerprofiler.com/nfl/tahj-brooks/,"Texas Tech",RB,22.8,-,ppr,default,20.810000,0.00,37,16
MT-2501,"Mason Taylor",http://www.playerprofiler.com/nfl/mason-taylor/,LSU,TE,20.8,-,ppr,default,18.760000,0.00,38,6
TE-2501,"Trevor Etienne",http://www.playerprofiler.com/nfl/trevor-etienne/,Georgia,RB,20.6,-,ppr,default,17.190000,0.00,39,17
KM-2505,"Kyle Monangai",http://www.playerprofiler.com/nfl/kyle-monangai/,Rutgers,RB,22.9,-,ppr,default,16.960000,0.00,40,18
GH-2501,"Gunnar Helm",http://www.playerprofiler.com/nfl/gunnar-helm/,Texas,TE,22.5,-,ppr,default,16.930000,0.00,41,7
RW-2401,"Ricky White",http://www.playerprofiler.com/nfl/ricky-white/,UNLV,WR,23.0,-,ppr,default,15.990000,0.00,42,14
JB-0222,"Ja'Corey Brooks",http://www.playerprofiler.com/nfl/jacorey-brooks/,Louisville,WR,23.3,-,ppr,default,15.750000,0.00,43,15
ME-2501,"Mitchell Evans",http://www.playerprofiler.com/nfl/mitchell-evans/,"Notre Dame",TE,21.9,-,ppr,default,15.460000,0.00,44,8
JM-2505,"Jalen Milroe",http://www.playerprofiler.com/nfl/jalen-milroe/,Alabama,QB,22.2,-,ppr,default,15.240000,0.00,45,4
KM-2501,"Kalel Mullings",http://www.playerprofiler.com/nfl/kalel-mullings/,Michigan,RB,22.4,-,ppr,default,15.230000,0.00,46,19
TF-2501,"Tai Felton",http://www.playerprofiler.com/nfl/tai-felton/,Maryland,WR,21.9,-,ppr,default,15.130000,0.00,47,16
JB-0226,"Jaydon Blue",http://www.playerprofiler.com/nfl/jaydon-blue/,Texas,RB,21.1,-,ppr,default,14.460000,0.00,48,20
JB-2501,"Jack Bech",http://www.playerprofiler.com/nfl/jack-bech/,TCU,WR,22.2,-,ppr,default,14.450000,0.00,49,17
TH-2401,"Tory Horton",http://www.playerprofiler.com/nfl/tory-horton/,"Colorado State",WR,22.2,-,ppr,default,14.010000,0.00,50,18
JH-2401,"Jarquez Hunter",http://www.playerprofiler.com/nfl/jarquez-hunter/,Auburn,RB,22.2,-,ppr,default,13.540000,0.00,51,21
JN-2502,"Jaylin Noel",http://www.playerprofiler.com/nfl/jaylin-noel/,"Iowa State",WR,22.5,-,ppr,default,12.930000,0.00,52,19
DE-3418,"Donovan Edwards",http://www.playerprofiler.com/nfl/donovan-edwards/,Michigan,RB,22.0,-,ppr,default,12.270000,0.00,53,22
BS-2502,"Brashard Smith",http://www.playerprofiler.com/nfl/brashard-smith/,SMU,RB,21.9,-,ppr,default,12.130000,0.00,54,23
LL-2501,"Luke Lachey",http://www.playerprofiler.com/nfl/luke-lachey/,Iowa,TE,23.7,-,ppr,default,11.440000,0.00,55,9
PB-2502,"Pat Bryant",http://www.playerprofiler.com/nfl/pat-bryant/,Illinois,WR,22.2,-,ppr,default,11.210000,0.00,56,20
DF-2503,"Da'Quan Felton",http://www.playerprofiler.com/nfl/daquan-felton/,"Virginia Tech",WR,24.1,-,ppr,default,10.890000,0.00,57,21
WH-2501,"Will Howard",http://www.playerprofiler.com/nfl/will-howard/,"Ohio State",QB,23.4,-,ppr,default,10.880000,0.00,58,5
BM-4441,"Bru McCoy",http://www.playerprofiler.com/nfl/bru-mccoy/,Tennessee,WR,24.7,-,ppr,default,10.640000,0.00,59,22
TS-7910,"Tyler Shough",http://www.playerprofiler.com/nfl/tyler-shough/,Louisville,QB,25.4,-,ppr,default,10.510000,0.00,60,6
KW-2501,"Kyle Williams",http://www.playerprofiler.com/nfl/kyle-williams-3/,"Washington State",WR,22.6,-,ppr,default,10.480000,0.00,61,23
LA-2502,"LeQuint Allen",http://www.playerprofiler.com/nfl/lequint-allen/,Syracuse,RB,20.6,-,ppr,default,10.460000,0.00,62,24
KM-5932,"Kyle McCord",http://www.playerprofiler.com/nfl/kyle-mccord/,Syracuse,QB,22.4,-,ppr,default,10.420000,0.00,63,7
DG-3493,"Dillon Gabriel",http://www.playerprofiler.com/nfl/dillon-gabriel/,Oregon,QB,24.2,-,ppr,default,10.000000,0.00,64,8
TE-2502,"Taylor Elgersma",http://www.playerprofiler.com/nfl/taylor-elgersma/,UDFA,QB,22.9,-,ppr,default,10.000000,0.00,64,8
MA-2502,"Mario Anderson Jr.",http://www.playerprofiler.com/nfl/mario-anderson-jr/,Memphis,RB,23.8,-,ppr,default,10.000000,0.00,64,25
AM-2501,"Avery Morrow",http://www.playerprofiler.com/nfl/avery-morrow/,"Colorado State",RB,23.5,-,ppr,default,10.000000,0.00,64,25
HP-0222,"Henry Parrish",http://www.playerprofiler.com/nfl/henry-parrish/,"Ole Miss",RB,24.0,-,ppr,default,10.000000,0.00,64,25
JJ-2501,"Ja'Quinden Jackson",http://www.playerprofiler.com/nfl/jaquinden-jackson/,Arkansas,RB,23.5,-,ppr,default,10.000000,0.00,64,25
JE-0223,"Justice Ellison",http://www.playerprofiler.com/nfl/justice-ellison/,Indiana,RB,-,-,ppr,default,10.000000,0.00,64,25
PM-2501,"Phil Mafah",http://www.playerprofiler.com/nfl/phil-mafah/,Clemson,RB,22.3,-,ppr,default,10.000000,0.00,64,25
UB-2501,"Ulysses Bentley IV",http://www.playerprofiler.com/nfl/ulysses-bentley-iv/,"Ole Miss",RB,24.2,-,ppr,default,10.000000,0.00,64,25
CK-2502,"Corey Kiner",http://www.playerprofiler.com/nfl/corey-kiner/,UDFA,RB,23.1,-,ppr,default,10.000000,0.00,64,25
CD-2502,"CJ Dippre",http://www.playerprofiler.com/nfl/cj-dippre/,Alabama,TE,21.8,-,ppr,default,10.000000,0.00,64,10
MM-2505,"Moliki Matavao",http://www.playerprofiler.com/nfl/moliki-matavao/,UCLA,TE,-,-,ppr,default,10.000000,0.00,64,10
BN-2501,"Bryson Nesbit",http://www.playerprofiler.com/nfl/bryson-nesbit/,"North Carolina",TE,22.4,-,ppr,default,10.000000,0.00,64,10
JB-2508,"Jake Briningstool",http://www.playerprofiler.com/nfl/jake-briningstool/,Clemson,TE,22.2,-,ppr,default,10.000000,0.00,64,10
TF-2503,"Thomas Fidone",http://www.playerprofiler.com/nfl/thomas-fidone/,Nebraska,TE,22.4,-,ppr,default,10.000000,0.00,64,10
OD-2501,"Oscar Delp",http://www.playerprofiler.com/nfl/oscar-delp/,Georgia,TE,21.6,-,ppr,default,10.000000,0.00,64,10
JH-2504,"Jackson Hawes",http://www.playerprofiler.com/nfl/jackson-hawes/,"Georgia Tech",TE,-,-,ppr,default,10.000000,0.00,64,10
CP-2501,"Caden Prieskorn",http://www.playerprofiler.com/nfl/caden-prieskorn/,UDFA,TE,25.4,-,ppr,default,10.000000,0.00,64,10
GB-0223,"Gavin Bartholomew",http://www.playerprofiler.com/nfl/gavin-bartholomew/,Pittsburgh,TE,21.8,-,ppr,default,10.000000,0.00,64,10
NN-2501,"Nick Nash",http://www.playerprofiler.com/nfl/nick-nash/,"San Jose State",WR,24.6,-,ppr,default,10.000000,0.00,64,24
AA-2501,"Andrew Armstrong",http://www.playerprofiler.com/nfl/andrew-armstrong/,Arkansas,WR,24.3,-,ppr,default,10.000000,0.00,64,24
MD-2502,"Mac Dalena",http://www.playerprofiler.com/nfl/mac-dalena/,"Fresno State",WR,23.4,-,ppr,default,10.000000,0.00,64,24
JK-2501,"Josh Kelly",http://www.playerprofiler.com/nfl/josh-kelly/,"Texas Tech",WR,-,-,ppr,default,10.000000,0.00,64,24
JN-2503,"Jerjuan Newton",http://www.playerprofiler.com/nfl/jerjuan-newton/,Toledo,WR,23.8,-,ppr,default,10.000000,0.00,64,24
JP-2501,"Jamaal Pritchett",http://www.playerprofiler.com/nfl/jamaal-pritchett/,"South Alabama",WR,-,-,ppr,default,10.000000,0.00,64,24
GJ-2501,"Giles Jackson",http://www.playerprofiler.com/nfl/giles-jackson/,Washington,WR,23.2,-,ppr,default,10.000000,0.00,64,24
JK-2502,"Jakobie Keeney-James",http://www.playerprofiler.com/nfl/jakobie-keeney-james/,UDFA,WR,24.4,-,ppr,default,10.000000,0.00,64,24
JL-2502,"Justin Lockhart",http://www.playerprofiler.com/nfl/justin-lockhart/,"San Jose State",WR,-,-,ppr,default,10.000000,0.00,64,24
KL-2501,"KeAndre Lambert-Smith",http://www.playerprofiler.com/nfl/keandre-lambert-smith/,Auburn,WR,22.6,-,ppr,default,10.000000,0.00,64,24
CO-2501,"Coleman Owen",http://www.playerprofiler.com/nfl/coleman-owen/,Ohio,WR,-,-,ppr,default,10.000000,0.00,64,24
EB-2501,"Elijhah Badger",http://www.playerprofiler.com/nfl/elijhah-badger/,Florida,WR,-,-,ppr,default,10.000000,0.00,64,24
DW-1177,"Dante Wright",http://www.playerprofiler.com/nfl/dante-wright/,Temple,WR,24.4,-,ppr,default,10.000000,0.00,64,24
DL-2402,"Dominic Lovett",http://www.playerprofiler.com/nfl/dominic-lovett/,Georgia,WR,22.3,-,ppr,default,10.000000,0.00,64,24
CY-2501,"Colbie Young",http://www.playerprofiler.com/nfl/colbie-young/,Georgia,WR,22.6,-,ppr,default,10.000000,0.00,64,24
KP-2501,"Kaden Prather",http://www.playerprofiler.com/nfl/kaden-prather/,Maryland,WR,22.5,-,ppr,default,10.000000,0.00,64,24
JL-2503,"Jaylin Lane",http://www.playerprofiler.com/nfl/jaylin-lane/,"Virginia Tech",WR,23.8,-,ppr,default,10.000000,0.00,64,24
CD-2501,"Chimere Dike",http://www.playerprofiler.com/nfl/chimere-dike/,Florida,WR,22.6,-,ppr,default,10.000000,0.00,64,24
AS-2401,"Arian Smith",http://www.playerprofiler.com/nfl/arian-smith/,Georgia,WR,23.4,-,ppr,default,10.000000,0.00,64,24
DT-0222,"Dont'e Thornton",http://www.playerprofiler.com/nfl/donte-thornton/,Tennessee,WR,22.2,-,ppr,default,10.000000,0.00,64,24
TH-0222,"Traeshon Holden",http://www.playerprofiler.com/nfl/traeshon-holden/,Oregon,WR,23.5,-,ppr,default,10.000000,0.00,64,24
TW-3054,"Theo Wease",http://www.playerprofiler.com/nfl/theo-wease/,Missouri,WR,23.7,-,ppr,default,10.000000,0.00,64,24
KH-2503,"Kobe Hudson",http://www.playerprofiler.com/nfl/kobe-hudson/,UCF,WR,22.5,-,ppr,default,10.000000,0.00,64,24
DJ-2501,"Daniel Jackson",http://www.playerprofiler.com/nfl/daniel-jackson/,Minnesota,WR,22.8,-,ppr,default,10.000000,0.00,64,24
QS-2501,"Quentin Skinner",http://www.playerprofiler.com/nfl/quentin-skinner/,Kansas,WR,-,-,ppr,default,10.000000,0.00,64,24
LW-2502,"LaJohntay Wester",http://www.playerprofiler.com/nfl/lajohntay-wester/,Colorado,WR,22.9,-,ppr,default,10.000000,0.00,64,24
DM-2505,"Dymere Miller",http://www.playerprofiler.com/nfl/dymere-miller/,Rutgers,WR,-,-,ppr,default,10.000000,0.00,64,24
JH-2502,"Jimmy Horn Jr.",http://www.playerprofiler.com/nfl/jimmy-horn-jr/,Colorado,WR,23.5,-,ppr,default,10.000000,0.00,64,24
WS-2501,"Will Sheppard",http://www.playerprofiler.com/nfl/will-sheppard/,Colorado,WR,25.5,-,ppr,default,10.000000,0.00,64,24
MF-2502,"Montorie Foster",http://www.playerprofiler.com/nfl/montorie-foster/,"Michigan State",WR,23.6,-,ppr,default,10.000000,0.00,64,24
